numphoneme,phoneme,duration,timef,f0,f0max,f0min,f1,f2,f3,intensity,intensitymax,id,rec,reduction,stress
1,ʐ,0.0849167007110093,0.190444945048896,191.296986562327,203.69695534391,187.660760238162,298.167748269542,2197.04773601953,2757.0688329499,54.9555477360301,57.811178847524,subj2,9-2,0,NA
2,ɐ,0.0980820806662046,0.281944335737503,215.984441926392,218.591836050168,203.959051572497,594.032594130605,1466.14503474187,1755.47415761069,58.8899364073982,59.8334245718506,subj2,9-2,2,NA
3,r,0.0566111338073396,0.359290942974275,213.500903007017,215.967605920388,210.106012390972,397.417743107466,1507.69888730497,2597.45834785678,52.4726834588741,54.5939884947797,subj2,9-2,0,NA
4,k,0.180365705386175,0.477779362571032,207.845345258716,215.134379221463,195.949489356191,586.389143237923,1863.21274193656,2916.23543744782,44.8576358382169,55.5438481355862,subj2,9-2,0,NA
5,o,0.142844372513869,0.639384401521054,184.666470126421,196.372388044252,182.311068503451,492.911993283542,749.890762565015,2623.95567215814,59.2368864432473,59.8255287080505,subj2,9-2,1,NA
6,ə̝,0.188264933359292,0.804939054457634,177.203677978339,183.684570665457,172.176168536645,336.467203547458,1782.67826306585,2436.9062568995,55.187533827003,58.4611442288808,subj2,9-2,3,NA
1,ʐ,0.120602483931814,0.260496518220741,460.9680340083,461.574895228602,208.716701480964,1824.78872435904,2866.19615159771,3319.96639590234,45.4810129359307,54.4792407059619,subj2,9-1,0,NA
2,a,0.159080419281488,0.400337969827392,208.520981154629,223.559643042176,195.986770243816,701.156618825472,1695.51423609927,2598.11503324651,61.5071574676949,61.8705605482363,subj2,9-1,1,NA
3,r,0.0534096714555178,0.506583015195895,226.67944265538,230.593351515847,218.44362983048,503.863248015218,1693.53568449861,2660.46930428859,55.8154866393381,58.8877099114131,subj2,9-1,0,NA
4,k,0.16884347750454,0.617709589675924,221.145569909382,228.171105588538,218.311014476153,599.493222301849,1688.9679991135,2682.98925926682,43.0596898830439,57.2613052932915,subj2,9-1,0,NA
5,ə,0.0855703338373349,0.744916495346862,214.65864184788,225.913989325793,211.729221141397,509.501112915835,1948.74702323246,2668.57079133921,60.6325759140421,61.0894248394789,subj2,9-1,3,NA
