pairs,diff,lwr,upr,p adj
I-S,-1.4509507106679393,-5.593772477346277,2.691871056010398,0.9177445737494647
R-S,-0.22719663888219088,-2.2836872015865963,1.8292939238222146,0.9995830047276046
T-S,-3.7493316334088576,-6.520283052942954,-0.9783802138747606,0.0016708802766604025
F-S,-5.0479429307114,-7.260198820846945,-2.835687040575856,0
O-S,-1.3421773067909442,-7.084212912062547,4.399858298480659,0.9853781403470157
R-I,1.2237540717857485,-3.0985349800378863,5.546043123609383,0.9659141454360813
T-I,-2.298380922740918,-7.002761964115033,2.4060001186331963,0.729628595931472
F-I,-3.596992220043461,-7.99552667329736,0.801542233210438,0.18082131940445223
O-I,0.10877340387699519,-6.777735298305046,6.995282106059037,0.999999973698118
T-R,-3.5221349945266667,-6.554853614258581,-0.48941637479475153,0.012166393166892608
F-R,-4.820746291829209,-7.353193049510412,-2.288299534148007,1.0728657335867808e-6
O-R,-1.1149806679087533,-6.9878150218861785,4.757853686068672,0.9943861280426428
F-T,-1.2986112973025428,-4.439041986780625,1.8418193921755392,0.8457695113039885
O-T,2.4071543266179134,-3.752326307671246,8.566634960907074,0.8745885098280086
O-F,3.705765623920456,-2.2234085207817023,9.634939768622615,0.47566750995050955
