pairs,diff,lwr,upr,p adj
ɐ-a,-141.65909350569416,-194.59916099308333,-88.719026018305,0
e-a,-272.59134035636015,-332.37994482321653,-212.80273588950377,0
ə-a,-183.36521248458507,-233.2151572629376,-133.51526770623255,0
ə̝-a,-318.7584991727591,-372.53464359925715,-264.9823547462611,0
əᶷ-a,-324.0811267907017,-442.62301572725517,-205.5392378541483,0
i-a,-433.6997068876176,-489.8742307908259,-377.5251829844093,0
ɪ-a,-347.10515747964035,-403.27968138284865,-290.93063357643206,0
ɨ-a,-381.32173778817605,-544.4939844568682,-218.14949111948386,0
ɨ̞-a,-269.7167178294787,-432.8889644981709,-106.54447116078649,4.133321630961362e-6
o-a,-235.6344437858545,-288.5745112732437,-182.69437629846533,0
u-a,-351.5744572173299,-426.87503932533616,-276.2738751093236,0
ʊ-a,-336.02572087629113,-424.1488058626611,-247.90263588992116,0
e-ɐ,-130.932246850666,-189.40424360890836,-72.46025009242364,0
ə-ɐ,-41.70611897889091,-89.9690879634706,6.556850005688766,0.17259211565436638
ə̝-ɐ,-177.09940566706496,-229.40782650139414,-124.79098483273579,0
əᶷ-ɐ,-182.42203328500756,-300.3053510761517,-64.53871549386345,2.616936316790497e-5
i-ɐ,-292.04061338192344,-346.8117217927802,-237.26950497106665,0
ɪ-ɐ,-205.4460639739462,-260.21717238480295,-150.6749555630894,0
ɨ-ɐ,-239.6626442824819,-402.3570795398386,-76.96820902512519,8.970779542405438e-5
ɨ̞-ɐ,-128.05762432378452,-290.7520595811412,34.63681093357218,0.30241153208879545
o-ɐ,-93.97535028016034,-145.42384808496533,-42.526852475355355,1.5049364776587026e-7
u-ɐ,-209.91536371163573,-284.1748738541508,-135.65585356912067,0
ʊ-ɐ,-194.36662737059697,-281.60179968266783,-107.13145505852613,0
ə-e,89.22612787177508,33.53644611894602,144.91580962460415,1.0190703517043431e-5
ə̝-e,-46.16715881639897,-105.39719653972111,13.062878906923174,0.31782035428247746
əᶷ-e,-51.48978643434157,-172.60338225236998,69.62380938368685,0.9722570382254511
i-e,-161.10836653125745,-222.5241690179034,-99.69256404461149,0
ɪ-e,-74.5138171232802,-135.92961960992616,-13.098014636634254,0.004093248237772684
ɨ-e,-108.7303974318159,-273.7804072537941,56.31961239016235,0.5993223019710426
ɨ̞-e,2.874622526881467,-162.17538729509678,167.92463234885972,1
o-e,36.95689657050565,-21.515100187736707,95.428893328748,0.6636991296683624
u-e,-78.98311686096974,-158.27057693588438,0.3043432139448896,0.051992594225454214
ʊ-e,-63.43438051993098,-154.9876533551583,28.118892315296335,0.5156526453108533
ə̝-ə,-135.39328668817404,-184.57191150645014,-86.21466186989797,0
əᶷ-ə,-140.71591430611664,-257.2442064170171,-24.18762219521618,0.004411234054251034
i-ə,-250.33449440303252,-302.1248464523216,-198.54414235374344,0
ɪ-ə,-163.73994499505528,-215.53029704434437,-111.94959294576618,0
ɨ-ə,-197.95652530359098,-359.67184774567033,-36.241202861511596,0.0035464513774051687
ɨ̞-ə,-86.35150534489361,-248.066827786973,75.36381709718577,0.8618242658787987
o-ə,-52.26923130126943,-100.53220028584911,-4.0062623166897495,0.020352169736206793
u-ə,-168.20924473274482,-240.29836385235797,-96.12012561313166,0
ʊ-ə,-152.66050839170606,-238.05571632020852,-67.2653004632036,3.282469078769168e-7
əᶷ-ə̝,-5.322627617942601,-123.58377752465596,112.93852228877076,0.9999999999997207
i-ə̝,-114.94120771485848,-170.52085579186672,-59.361559637850235,0
ɪ-ə̝,-28.34665830688124,-83.92630638388948,27.232989770127006,0.8964607189646057
ɨ-ə̝,-62.563238615416935,-225.53164729489225,100.40517006405838,0.9880632686075105
ɨ̞-ə̝,49.041781343280434,-113.92662733619488,212.01019002275575,0.9987419310893859
o-ə̝,83.12405538690462,30.815634552575446,135.4324762212338,1.2805278800653852e-5
u-ə̝,-32.81595804457078,-107.67380873784514,42.04189264870358,0.9647417273150998
ʊ-ə̝,-17.267221703532016,-105.01229707603912,70.47785366897509,0.9999854221145277
i-əᶷ,-109.61858009691588,-228.98944339123352,9.75228319740178,0.10924434982140907
ɪ-əᶷ,-23.024030688938637,-142.39489398325628,96.34683260537902,0.9999883206135916
ɨ-əᶷ,-57.240610997474334,-251.45443118230847,136.9732091873598,0.9989751758829779
ɨ̞-əᶷ,54.364408961223035,-139.8494112236111,248.57822914605717,0.9993877597417244
o-əᶷ,88.44668300484722,-29.436634786296892,206.33000079599134,0.38020995186994466
u-əᶷ,-27.493330426628177,-156.9692105498509,101.98254969659456,0.9999664656175901
ʊ-əᶷ,-11.944594085589415,-149.2745033384304,125.38531516725158,0.999999998795642
ɪ-i,86.59454940797724,28.691175527549255,144.49792328840522,6.227173175177292e-5
ɨ-i,52.37796909944154,-111.39750419828104,216.15344239716413,0.9977318254378575
ɨ̞-i,163.9829890581389,0.20751576041632802,327.7584623558615,0.049356712097939015
o-i,198.0652631017631,143.2941546909063,252.83637151261988,0
u-i,82.1252496702877,5.526285990684954,158.72421334989045,0.023023489972595845
ʊ-i,97.67398601132646,8.438893819411888,186.90907820324105,0.01781643562271462
ɨ-ɪ,-34.2165803085357,-197.99205360625828,129.5588929891869,0.9999718994672044
ɨ̞-ɪ,77.38843965016167,-86.38703364756091,241.16391294788426,0.9384678534924165
o-ɪ,111.47071369378585,56.69960528292908,166.24182210464264,0
u-ɪ,-4.469299737689539,-81.06826341729229,72.12966394191321,0.9999999999895438
ʊ-ɪ,11.079436603349222,-78.15565558856535,100.3145287952638,0.9999999220341633
ɨ̞-ɨ,111.60501995869737,-112.65378276942172,335.86382268681643,0.9119294532036715
o-ɨ,145.68729400232155,-17.00714125503515,308.38172925967825,0.13329375410404287
u-ɨ,29.747280570846158,-141.533209222783,201.02777036447532,0.9999963735552587
ʊ-ɨ,45.29601691188492,-131.9961335789247,222.58816740269455,0.9997597764476033
o-ɨ̞,34.08227404362418,-128.61216121373252,196.77670930098088,0.999971063150481
u-ɨ̞,-81.85773938785121,-253.13822918148037,89.42275040577795,0.9333199554189954
ʊ-ɨ̞,-66.30900304681245,-243.60115353762208,110.98314744399718,0.9904795552320541
u-o,-115.94001343147539,-190.19952357399046,-41.680503288960324,2.0689870063650417e-5
ʊ-o,-100.39127709043663,-187.6264494025075,-13.156104778365787,0.00908375797444172
ʊ-u,15.548736341038762,-86.81093447003785,117.90840715211537,0.9999992048103965
