pairs,diff,lwr,upr,p adj
ɐ-a,98.84158421724214,-86.90569718873397,284.5888656232182,0.8647062535911328
e-a,717.1513578526697,507.3750718397886,926.9276438655507,0
ə-a,70.88051563579802,-104.02465846551411,245.78568973711015,0.9811691778459735
ə̝-a,617.7906366681641,429.1098679083477,806.4714054279805,0
əᶷ-a,-143.18345527279325,-559.1034691250434,272.7365585794568,0.9954756353816716
i-a,1106.827736108109,909.7319333537679,1303.9235388624502,0
ɪ-a,635.04206445054,437.9462616961988,832.1378672048812,0
ɨ-a,431.4769897655883,-141.03458149062078,1003.9885610217974,0.37273554563737665
ɨ̞-a,52.10004117981748,-520.4115300763916,624.6116124360266,0.999999997946361
o-a,-339.7173765774096,-525.4646579833857,-153.97009517143348,1.434667735722428e-7
u-a,-65.79925167829833,-330.0013783223843,198.40287496578765,0.9998159253987335
ʊ-a,-78.68959226735569,-387.8811789464845,230.50199441177313,0.999769251294679
e-ɐ,618.3097736354275,413.15298121521073,823.4665660556443,0
ə-ɐ,-27.961068581444124,-197.29812663491376,141.3759894720255,0.9999979479968379
ə̝-ɐ,518.949052450922,335.4179874984482,702.4801174033958,0
əᶷ-ɐ,-242.0250394900354,-655.6343687195026,171.58428973943177,0.7682146450924036
i-ɐ,1007.986151890867,815.8144194061646,1200.1578843755692,0
ɪ-ɐ,536.2004802332979,344.0287477485955,728.3722127180002,0
ɨ-ɐ,332.63540554834617,-238.19970069955025,903.4705117962426,0.7732203818487307
ɨ̞-ɐ,-46.74154303742466,-617.5766492853211,524.0935632104718,0.9999999994098726
o-ɐ,-438.55896079465174,-619.0728712074083,-258.0450503818952,0
u-ɐ,-164.64083589554048,-425.190222818733,95.90855102765204,0.6640430904315267
ʊ-ɐ,-177.53117648459784,-483.6074032255047,128.54505025630903,0.7786977944676149
ə-e,-646.2708422168716,-841.665511678071,-450.87617275567226,0
ə̝-e,-99.36072118450556,-307.17720134485364,108.45575897584251,0.9331220235508967
əᶷ-e,-860.3348131254629,-1285.2780032689184,-435.39162298200745,0
i-e,389.67637825543943,174.19085115484918,605.1619053560297,2.1771557157101995e-7
ɪ-e,-82.10929340212965,-297.5948205027199,133.3762336984606,0.9888064460705788
ɨ-e,-285.67436808708135,-864.7743215913916,293.42558541722894,0.9169943715467758
ɨ̞-e,-665.0513166728522,-1244.1512701771626,-85.95136316854189,0.009355618426150514
o-e,-1056.8687344300793,-1262.025526850296,-851.7119420098625,0
u-e,-782.950609530968,-1061.141228800739,-504.75999026119695,0
ʊ-e,-795.8409501200254,-1117.0678079628874,-474.61409227716337,0
ə̝-ə,546.9101210323661,374.36036246896333,719.4598795957688,0
əᶷ-ə,-214.06397090859127,-622.919011972474,194.79107015529138,0.8776198760045748
i-ə,1035.947220472311,854.2338688883632,1217.6605720562588,0
ɪ-ə,564.161548814742,382.4481972307941,745.8749003986899,0
