numphoneme,phoneme,duration,timef,f0,f0max,f0min,f1,f2,f3,intensity,intensitymax,id,rec,reduction
2,ɐ,0.0980820806662046,0.281944335737503,215.984441926392,218.591836050168,203.959051572497,594.032594130605,1466.14503474187,1755.47415761069,58.8899364073982,59.8334245718506,subj2,9-2,2
5,o,0.142844372513869,0.639384401521054,184.666470126421,196.372388044252,182.311068503451,492.911993283542,749.890762565015,2623.95567215814,59.2368864432473,59.8255287080505,subj2,9-2,1
6,ə̝,0.188264933359292,0.804939054457634,177.203677978339,183.684570665457,172.176168536645,336.467203547458,1782.67826306585,2436.9062568995,55.187533827003,58.4611442288808,subj2,9-2,3
2,a,0.159080419281488,0.400337969827392,208.520981154629,223.559643042176,195.986770243816,701.156618825472,1695.51423609927,2598.11503324651,61.5071574676949,61.8705605482363,subj2,9-1,1
5,ə,0.0855703338373349,0.744916495346862,214.65864184788,225.913989325793,211.729221141397,509.501112915835,1948.74702323246,2668.57079133921,60.6325759140421,61.0894248394789,subj2,9-1,3
6,ə̝,0.168269179962008,0.871836252246533,208.871106932321,212.583490190316,193.139497487024,638.789256331819,1874.9960153296,2710.48431839315,58.8054159892312,60.5990120431132,subj2,9-1,3
1,ɐ,0.104230759077856,0.219138530906979,206.482374241159,216.224524865095,200.66392909853,727.521257891902,1811.91682684217,2520.18753374733,58.2267016173939,59.703397168074,subj2,8-2,2
4,a,0.22758076982088,0.549716559698285,177.603107101351,200.46424072024,176.659441031899,827.85187361978,1708.16417866172,2919.7183342439,58.1242608764521,58.830651038916,subj2,8-2,1
1,o,0.159424842595406,0.541379726634415,209.055742996186,218.204589472189,203.920677223387,505.07395476026,1036.8100022844,2630.89447844504,61.016657230971,62.1929564538471,subj2,8-1,1
4,ə,0.0879585338457414,0.828772019512341,213.0516359591,220.485879358119,203.483221549242,482.375415737394,1724.08421670569,2727.27138354304,61.8813239603426,62.6822615707445,subj2,8-1,3
2,ɪ,0.0997836222524059,0.256043511405764,212.169955156804,227.940279419588,203.602346944727,402.113599480051,2490.22011576745,3278.98928678759,58.6257954393307,58.853082344223,subj2,7-2,2
5,i,0.186745885220983,0.693642078266874,184.404749589534,195.426806226134,180.041986793592,248.402612994493,2279.65661658055,2555.19834082342,59.7292426526977,60.855049172524,subj2,7-2,1
2,i,0.150687486355307,0.330933030151202,223.912285069089,237.062856223256,208.249518055962,384.200915178441,2660.11231584144,3484.85279187132,61.0550108746037,62.3588495416703,subj2,7-1,1
5,ə̝,0.114157186632809,0.743203555590831,218.752951620992,225.633972252569,206.70189843382,423.590747039715,2488.14216230103,3294.46470613998,61.7710044128138,62.8423370741353,subj2,7-1,3
2,ɐ,0.114811534992547,0.261794843737674,224.057625284899,229.425173078419,212.463311370964,712.927511387969,1755.99389645939,2417.30062445277,61.1313533107119,61.9260323234896,subj2,6-2,2
4,a,0.178859292116489,0.509683385198855,186.880037622006,194.18521490231,179.182668776825,961.766957734605,1532.56000854785,2163.06465431057,57.8941518595886,58.8719169774619,subj2,6-2,1
2,o,0.204584298137614,0.361959088098262,223.513587539171,232.753502095224,209.32387704544,560.764130149203,855.661270334565,2698.35803291752,62.8079366376893,63.2577991048231,subj2,6-1,1
4,ə,0.110375179921656,0.603056387674606,217.406576746219,226.563794589143,204.026064205297,788.445537550219,1791.2900087267,3073.05920101467,59.2011357018281,60.6493539991772,subj2,6-1,3
2,ʊ,0.116056398824242,0.291858469162295,238.662487710324,245.388780020457,212.780770862183,373.178757344726,2148.66629822158,2669.43599540277,60.6265765862353,61.0502229120687,subj2,5-2,2
4,i,0.167976366719298,0.614067681687493,186.719356095946,189.971351138379,181.601895525442,262.704495245355,2780.66915949099,3926.61295347842,59.2466063348258,59.6294774135755,subj2,5-2,1
2,u,0.188671117584284,0.390612560692563,231.15465752286,246.616704813491,199.908202603869,363.052219831081,894.261855475206,2894.85034703815,61.8020354907934,62.980285533652,subj2,5-1,1
