numphoneme,phoneme,stress,duration,timef,f0,f0max,f0min,f1,f2,f3,intensity,intensitymax,id,rec
1,,,0.195389145805461,0.0976945729027307,-1,-1,-1,445.582846857849,1638.37403877772,2786.95585990491,50.810146771575,54.9516087914694,subj1,9-2.csv
2,ʐ,F,0.045495201941497,0.21813674677621,125.413175287344,126.421557836031,125.321582100287,1462.0060456794,3116.15789356047,3977.29323013558,64.0124510648337,72.5863949864511,subj1,9-2.csv
3,ɐ,2,0.0410146138715011,0.261391654682709,112.769601393112,126.325498768031,111.173538574009,526.90171775998,994.651448480804,2503.99569182347,76.0871613594053,77.3902097537168,subj1,9-2.csv
4,r,L,0.0796166033976198,0.32170726331727,112.616229255629,123.828964708974,110.845235429115,303.47396345645,1942.27600754316,2607.69683823002,72.9952075102691,77.4252761395563,subj1,9-2.csv
5,k,P,0.132694338996033,0.427862734514096,-1,121.242743005895,110.408262971434,490.315287364471,1488.87539909974,2637.33644793012,59.5028496120106,76.121527947115,subj1,9-2.csv
6,o,1,0.086854476433767,0.537637142228996,112.437119460043,124.820172421859,108.495174515755,452.342914220526,910.240211822472,2482.34703034757,79.4514719555839,80.2595588992127,subj1,9-2.csv
7,əᶦ,3,0.0947816707114522,0.628455215801605,105.211837462326,108.434740609291,101.691667249435,449.894204903345,1776.34715972373,1944.14187670408,73.3507780888946,76.1796840508934,subj1,9-2.csv
8,,,0.298802474919766,0.825247288617215,101.702446151476,102.044346435386,100.146289867633,390.84077050505,1714.95239234654,2992.09858725849,53.9468526029695,70.7751734898735,subj1,9-2.csv
1,,,0.261008423418056,0.130504211709028,-1,-1,-1,522.090117603803,1781.69278380562,3690.64463509116,51.8496287845289,58.287523371771,subj1,9-1.csv
2,ʐ,F,0.0785838627274878,0.3003003547818,118.494303569582,121.579490847632,117.004718787338,397.412698234612,2163.69535193821,3154.23096447186,73.5046352366477,79.7715128185746,subj1,9-1.csv
3,a,1,0.0837248630928375,0.381454717691962,120.670339259861,121.267212728507,118.007470721572,631.611318725363,1379.8574071122,2230.16739499836,80.9686433651368,81.247625904117,subj1,9-1.csv
4,r,L,0.0638952902550602,0.455264794365911,113.478466765916,118.235998115433,108.844085825916,450.269890701383,1768.50220171366,2370.52464354386,75.1592275699569,80.1730769891964,subj1,9-1.csv
5,k,P,0.151659510777815,0.563042194882349,-1,112.88311213598,106.956325486645,176.070143788138,1593.25056750474,2748.34830741479,58.6041931879502,72.064861482874,subj1,9-1.csv
6,ə,3,0.046269003288147,0.66200645191533,102.085912495337,102.656276745455,99.9804661725871,516.658401765118,1703.86912573955,2128.83473590379,71.5569690496579,71.7998810310587,subj1,9-1.csv
7,əᶦ,3,0.0690362906204097,0.719659098869608,100.791578661296,101.264307710153,99.1382086556258,575.291611858616,925.625520288106,1981.04330126654,70.4951919309966,70.9004445316423,subj1,9-1.csv
